City,County,State,Min Year,Max Year,Year Difference,city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Vallejo,Solano,California,2000,2015,15,Vallejo,Vallejo,CA,California,6095.0,Solano,38.1125,-122.2342,171414.0,1581.2,shape,False,True,America/Los_Angeles,2.0,94592 94591 94589 94590,1840021499.0
Phoenix,Maricopa,Arizona,2000,2015,15,Phoenix,Phoenix,AZ,Arizona,4013.0,Maricopa,33.5722,-112.0892,4065338.0,1210.3,shape,False,True,America/Phoenix,1.0,85009 85003 85006 85007 85004 85083 85086 85087 85085 85331 85306 85308 85020 85021 85022 85023 85024 85026 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85016 85254 85008 85044 85045 85042 85043 85040 85041 85048 85054 85037 85035 85034 85033 85032 85031 85017 85304 85307 85266 85310 85051 85050 85053 85001 85002 85005 85010 85011 85030 85036 85038 85046 85060 85061 85062 85063 85064 85066 85067 85068 85069 85070 85071 85072 85074 85076 85078 85079 85080 85082,1840020568.0
Phoenix,Maricopa,Arizona,2000,2015,15,Phoenix,Phoenix,OR,Oregon,41029.0,Jackson,42.2749,-122.8154,4383.0,1184.7,shape,False,True,America/Los_Angeles,3.0,97535,1840020077.0
Phoenix,Maricopa,Arizona,2000,2015,15,Phoenix,Phoenix,NY,New York,36075.0,Oswego,43.2316,-76.2961,2393.0,789.3,shape,False,True,America/New_York,3.0,13135,1840004193.0
Phoenix,Maricopa,Arizona,2000,2015,15,Phoenix,Phoenix,IL,Illinois,17031.0,Cook,41.6118,-87.6308,1284.0,1069.3,shape,False,True,America/Chicago,3.0,60426,1840011314.0
Baton Rouge,East Baton Rouge,Louisiana,2000,2015,15,Baton Rouge,Baton Rouge,LA,Louisiana,22033.0,East Baton Rouge,30.442,-91.1311,630063.0,993.4,shape,False,True,America/Chicago,2.0,70836 70808 70809 70802 70803 70801 70806 70807 70805 70820 70825 70819 70813 70812 70815 70814 70816 70804 70821 70822 70823 70827 70831 70833 70835 70873 70874 70891 70892 70893 70894 70895 70898,1840013941.0
Winter Park,Orange,Florida,2000,2015,15,Winter Park,Winter Park,FL,Florida,12095.0,Orange,28.5989,-81.3442,29929.0,1318.2,shape,False,True,America/New_York,3.0,32792 32789 32790,1840015966.0
Winter Park,Orange,Florida,2000,2015,15,Winter Park,Winter Park,CO,Colorado,8049.0,Grand,39.8785,-105.7828,750.0,17.1,shape,False,True,America/Denver,3.0,80482,1840022421.0
Bethel Island,Contra Costa,California,2000,2015,15,Bethel Island,Bethel Island,CA,California,6013.0,Contra Costa,38.0289,-121.6404,2144.0,157.7,shape,False,False,America/Los_Angeles,3.0,94511,1840017610.0
Lompoc,Santa Barbara,California,2000,2015,15,Lompoc,Lompoc,CA,California,6083.0,Santa Barbara,34.6618,-120.4714,43819.0,1455.6,shape,False,True,America/Los_Angeles,3.0,93436 93438,1840020468.0
San Pablo,Contra Costa,California,2000,2015,15,San Pablo,San Pablo,CA,California,6013.0,Contra Costa,37.9629,-122.3426,31771.0,4674.2,shape,False,True,America/Los_Angeles,2.0,94806,1840021529.0
San Pablo,Contra Costa,California,2000,2015,15,San Pablo,San Pablo,NM,New Mexico,35013.0,Doña Ana,32.2507,-106.7626,729.0,231.4,shape,False,False,America/Denver,3.0,88005,1840025090.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,NJ,New Jersey,34007.0,Camden,39.9361,-75.1073,71471.0,3094.1,shape,False,True,America/New_York,2.0,08104 08105 08102 08103 08101,1840001507.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,AR,Arkansas,5103.0,Ouachita,33.5672,-92.8467,10427.0,243.6,shape,False,True,America/Chicago,3.0,71701 71711,1840013736.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,SC,South Carolina,45055.0,Kershaw,34.257,-80.609,8025.0,279.0,shape,False,True,America/New_York,3.0,29020,1840013598.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,DE,Delaware,10001.0,Kent,39.099,-75.5571,4011.0,413.4,shape,False,True,America/New_York,3.0,19934 19904,1840005813.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,TN,Tennessee,47005.0,Benton,36.0663,-88.1047,3664.0,249.2,shape,False,True,America/Chicago,3.0,38320,1840013349.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,AL,Alabama,1131.0,Wilcox,32.0007,-87.2967,2056.0,189.7,shape,False,True,America/Chicago,4.0,36726,1840001060.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,OH,Ohio,39135.0,Preble,39.6372,-84.6446,1986.0,617.8,shape,False,True,America/New_York,3.0,45311,1840010585.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,NC,North Carolina,37029.0,Camden,36.325,-76.17,1072.0,262.2,shape,False,False,America/New_York,3.0,27921,1840024899.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,IN,Indiana,18015.0,Carroll,40.6099,-86.5392,651.0,585.7,shape,False,True,America/Indiana/Indianapolis,3.0,46917 46923,1840009407.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,MI,Michigan,26059.0,Hillsdale,41.755,-84.7562,614.0,296.0,shape,False,True,America/Detroit,3.0,49232,1840010155.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,MO,Missouri,29177.0,Ray,39.1991,-94.0234,91.0,78.9,shape,False,True,America/Chicago,3.0,64017,1840007359.0
Camden,Camden,New Jersey,2000,2015,15,Camden,Camden,IL,Illinois,17169.0,Schuyler,40.1529,-90.7733,43.0,21.8,shape,False,True,America/Chicago,3.0,62319,1840010483.0
Capitan,Santa Barbara,California,2000,2015,15,Capitan,Capitan,NM,New Mexico,35027.0,Lincoln,33.5393,-105.5983,1262.0,149.5,shape,False,True,America/Denver,3.0,88316,1840022871.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,CA,California,6013.0,Contra Costa,37.9722,-122.0016,525233.0,1569.5,shape,False,True,America/Los_Angeles,2.0,94518 94519 94565 94521 94520 94522 94524 94527,1840018905.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,NC,North Carolina,37025.0,Cabarrus,35.3933,-80.6369,297379.0,642.3,shape,False,True,America/New_York,2.0,28025 28027 28026,1840014559.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,NH,New Hampshire,33013.0,Merrimack,43.2305,-71.5595,44219.0,266.9,shape,False,True,America/New_York,2.0,03303 03301 03302 03305,1840002747.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,MO,Missouri,29189.0,St. Louis,38.5117,-90.3574,18028.0,1266.6,shape,False,False,America/Chicago,3.0,63128 63123,1840006126.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,AL,Alabama,1073.0,Jefferson,33.4674,-87.0392,1878.0,215.5,shape,False,False,America/Chicago,3.0,35023,1840013094.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,VA,Virginia,51031.0,Campbell,37.3426,-78.9862,1367.0,94.4,shape,False,False,America/New_York,3.0,24538,1840026857.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,MI,Michigan,26075.0,Jackson,42.1762,-84.6456,1156.0,298.9,shape,False,True,America/Detroit,3.0,49237,1840011197.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,GA,Georgia,13231.0,Pike,33.0917,-84.4387,488.0,223.9,shape,False,True,America/New_York,3.0,30206,1840014853.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,NE,Nebraska,31051.0,Dixon,42.3839,-96.989,166.0,168.8,shape,False,True,America/Chicago,3.0,68728,1840011094.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,IL,Illinois,17137.0,Morgan,39.8157,-90.3705,141.0,143.4,shape,False,True,America/Chicago,3.0,62631,1840012510.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,AR,Arkansas,5023.0,Cleburne,35.6623,-91.8507,110.0,13.8,shape,False,True,America/Chicago,3.0,72523,1840016305.0
Concord,Contra Costa,California,2000,2015,15,Concord,Concord,KY,Kentucky,21135.0,Lewis,38.6876,-83.4915,18.0,101.6,shape,False,True,America/New_York,3.0,41179,1840014279.0
New York,Queens,New York,2001,2015,14,New York,New York,NY,New York,36081.0,Queens,40.6943,-73.9249,18832416.0,10943.7,shape,False,True,America/New_York,1.0,11229 11226 11225 11224 11223 11221 11220 11385 10169 10168 10167 10165 10162 10282 10280 10040 10044 11109 11102 11103 11106 11104 11379 11378 11377 11697 11694 11692 11693 11691 10271 10279 10278 10075 10303 10302 10301 11249 10452 11451 10475 10474 10471 10470 10473 10472 11228 11222 10103 11368 11369 11366 11367 11364 11365 11362 11363 11360 11361 10028 10029 10026 10027 10024 10025 10022 10023 10020 10021 11212 11213 11210 11211 11216 11217 11214 11215 11218 11219 10152 10153 10154 10307 10306 10305 11429 10310 10311 10312 10314 11439 11432 11433 11430 11436 11434 11435 10453 10451 10457 10456 10455 10454 10459 10458 10128 10004 10005 10006 10007 10001 10002 10003 10009 11238 11239 11230 11231 11232 11233 11234 11235 11236 11237 11375 11374 11371 11370 11373 11372 10170 10171 10172 10173 10174 10177 10039 10038 10035 10034 10037 10036 10031 10030 10033 10032 11208 11201 11203 11205 11204 11207 11206 11209 11411 11412 11413 11414 11415 11416 11417 11418 11419 11101 11105 11001 11005 11004 10065 10069 10199 10309 10308 10304 11428 11421 11420 11423 11422 11424 11427 11426 10466 10467 10464 10465 10462 10463 10460 10461 10468 10469 10119 10115 10112 10110 10111 11359 11358 11357 11356 11355 11354 10019 10018 10013 10012 10011 10010 10017 10016 10014 10008 10041 10043 10055 10060 10081 10087 10090 10101 10102 10104 10105 10106 10107 10108 10109 10113 10114 10116 10117 10118 10120 10121 10122 10123 10124 10125 10126 10129 10130 10131 10132 10133 10138 10150 10151 10155 10156 10157 10158 10159 10160 10163 10164 10166 10175 10176 10178 10179 10185 10203 10211 10212 10213 10242 10249 10256 10258 10259 10260 10261 10265 10268 10269 10270 10272 10273 10274 10275 10276 10277 10281 10285 10286 10313 11120 11202 11241 11242 11243 11245 11247 11251 11252 11256 11351 11352 11380 11386 11405 11425 11431 11437 11499 11690 11695,1840034016.0
El Paso,El Paso,Texas,2001,2015,14,El Paso,El Paso,TX,Texas,48141.0,El Paso,31.8476,-106.43,862494.0,1011.8,shape,False,True,America/Denver,2.0,79901 79902 79903 79904 79905 79906 79907 79930 79932 79935 79934 79936 79915 79912 79911 79835 79922 79920 79927 79924 79925 79910 79913 79914 79917 79923 79926 79931 79937 79940 79941 79942 79943 79944 79945 79946 79947 79948 79949 79950 79951 79952 79953 79954 79955 79958 79960 79961 79968 79976 79978 79980 79995 79996 79997 79998 79999 88540 88541 88542 88543 88544 88545 88546 88547 88548 88549 88550 88553 88554 88555 88556 88557 88558 88559 88560 88561 88562 88563 88565 88566 88567 88568 88569 88570 88571 88572 88573 88574 88575 88576 88577 88578 88579 88580 88581 88582 88583 88584 88585 88586 88588 88590 88595,1840023252.0
El Paso,El Paso,Texas,2001,2015,14,El Paso,El Paso,IL,Illinois,17203.0,Woodford,40.7405,-89.0183,2871.0,516.7,shape,False,True,America/Chicago,3.0,61738,1840008293.0
El Paso,El Paso,Texas,2001,2015,14,El Paso,El Paso,AR,Arkansas,5145.0,White,35.1153,-92.0812,494.0,46.2,shape,False,False,America/Chicago,3.0,72045,1840001765.0
Rubidoux,Riverside,California,2001,2015,14,,,,,,,,,,,,,,,,,
Kansas City,Wyandotte,Kansas,2000,2014,14,Kansas City,Kansas City,MO,Missouri,29095.0,Jackson,39.1238,-94.5541,1686807.0,623.6,shape,False,True,America/Chicago,1.0,64163 64165 64167 64161 64053 64119 64151 64153 64155 64154 64157 64156 64158 64108 64109 64105 64101 64128 64129 64124 64125 64126 64127 64120 64123 64164 64166 64118 64114 64117 64116 64111 64110 64113 64112 64132 64146 64145 64149 64147 64106 64102 64139 64138 64133 64131 64130 64137 64136 64134 64121 64141 64148 64162 64170 64171 64179 64180 64184 64187 64188 64191 64195 64196 64197 64198 64199 64999,1840008535.0
Kansas City,Wyandotte,Kansas,2000,2014,14,Kansas City,Kansas City,KS,Kansas,20209.0,Wyandotte,39.1235,-94.7443,154776.0,479.1,shape,False,True,America/Chicago,2.0,66101 66102 66103 66104 66105 66106 66109 66160 66112 66111 66115 66118 66110 66117 66119,1840001626.0
Costa Mesa,Orange,California,2000,2014,14,Costa Mesa,Costa Mesa,CA,California,6059.0,Orange,33.6667,-117.9135,110538.0,2700.2,shape,False,True,America/Los_Angeles,2.0,92626 92627 92628,1840019326.0
Vandenberg Air Force Base,Santa Barbara,California,2000,2014,14,,,,,,,,,,,,,,,,,
Los Angeles,Los Angeles,California,2001,2015,14,Los Angeles,Los Angeles,CA,California,6037.0,Los Angeles,34.1141,-118.4068,11885717.0,3165.8,shape,False,True,America/Los_Angeles,1.0,90291 90293 90292 91316 91311 90035 90034 90037 90031 90039 90008 90004 90005 90006 90007 90001 90002 90003 91504 90710 90089 91306 91344 91345 91340 91342 91343 90036 90247 90248 91436 91371 91608 91605 91604 91607 91606 91601 91602 90402 90068 90069 90062 90063 90061 90066 90067 90064 90065 91326 91324 91325 90013 90012 90011 90010 90017 90016 90015 90014 90019 90095 90094 91042 91040 91411 91352 91356 90041 90042 90043 90044 90045 90046 90047 90048 90049 90018 91423 90210 91303 91304 91307 90079 90071 90077 91331 91330 91335 90026 90027 90024 90025 90023 90020 90021 90029 90272 90732 90731 90028 90230 91406 91405 91403 91402 91401 91367 91364 90033 90032 90038 90057 90052 90059 90058 90744 90501 90502 90009 90030 90050 90051 90053 90054 90055 90060 90070 90072 90074 90075 90076 90078 90080 90081 90082 90083 90084 90085 90086 90087 90088 90093 90099 90134 90140 90189 90213 90294 90295 90733 90734 90748 91041 91043 91305 91308 91309 91313 91327 91328 91333 91334 91337 91346 91353 91357 91365 91392 91393 91394 91395 91396 91404 91407 91408 91409 91410 91412 91413 91416 91426 91470 91482 91499 91603 91609 91610 91614 91615 91616 91617 91618,1840020491.0
Los Angeles,Los Angeles,California,2001,2015,14,Los Angeles,Los Angeles,TX,Texas,48489.0,Willacy,26.4947,-97.7862,400.0,450.8,shape,False,True,America/Chicago,3.0,78580,1840042609.0
Victorville,San Bernardino,California,2001,2015,14,Victorville,Victorville,CA,California,6071.0,San Bernardino,34.5277,-117.3536,363596.0,712.3,shape,False,True,America/Los_Angeles,2.0,92394 92395 92392 92393,1840021731.0
